school_sector,school_code,school_name,school_grade_range,school_enrollment_SY1819,school_star_score_SY1819,school_star_rating_SY1819,school_capacity_SY1819,school_unfilled_seats_SY1819,school_latitude,school_longitude,school_cluster,school_ward,school_grade_band,school_enrollment_SY1718,school_star_score_SY1718,school_star_rating_SY1718,school_capacity_SY1718,school_unfilled_seats_SY1718,attnd_count_truancy_aged_students_SY1819,attnd_absence_1-5_SY1819,attnd_absence_6-10_SY1819,attnd_absence_11-20_SY1819,attnd_absence_20+_SY1819,attnd_count_truancy_aged_students_SY1718,attnd_absence_1-5_SY1718,attnd_absence_6-10_SY1718,attnd_absence_11-20_SY1718,attnd_absence_20+_SY1718
DCPS,213,Brightwood Education Campus,PK3-8th,757.0,57.15,3.0,1069.0,312.0,38.96053573,-77.03068885,Cluster 18,Ward 4,Education Campus/Multi,737.0,59.87,3.0,1069.0,332.0,720,399,150,62,27,712.0,407,155,52,12
DCPS,347,Brookland Middle School,6th-8th,270.0,41.16,3.0,534.0,264.0,38.93874518,-76.99114684,Cluster 20,Ward 5,Middle,238.0,18.56,1.0,534.0,296.0,,,,,,,,,,
DCPS,404,Browne Education Campus,PK3-8th,371.0,28.62,2.0,828.0,457.0,38.90259888,-76.97066706,Cluster 23,Ward 5,Education Campus/Multi,325.0,32.78,2.0,828.0,503.0,343,131,98,60,30,317.0,157,69,35,12
DCPS,296,Bruce-Monroe Elementary School @ Park View,PK3-5th,451.0,69.1,4.0,609.0,158.0,38.9344141,-77.02118567,Cluster 2,Ward 1,Elementary,473.0,49.24,3.0,609.0,136.0,380,230,38,17,n<10,397.0,254,46,14,10
DCPS,219,Bunker Hill Elementary School,PK3-5th,221.0,34.72,2.0,577.0,356.0,38.94201247,-76.98499564,Cluster 20,Ward 5,Elementary,200.0,49.18,3.0,577.0,377.0,191,101,40,19,n<10,163.0,80,48,22,<10
DCPS,220,Burroughs Elementary School,PK3-5th,273.0,62.14,4.0,450.0,177.0,38.93350266,-76.97845637,Cluster 22,Ward 5,Elementary,282.0,58.66,3.0,450.0,168.0,209,87,68,24,15,222.0,84,63,48,16
DCPS,221,Burrville Elementary School,PK3-5th,295.0,61.44,4.0,400.0,105.0,38.90056577,-76.92445918,Cluster 31,Ward 7,Elementary,300.0,31.72,2.0,400.0,100.0,217,79,81,35,15,244.0,59,78,78,22
DCPS,247,C W Harris Elementary School,PK3-5th,232.0,22.08,2.0,0.0,0.0,38.88359883,-76.9261155,Cluster 33,Ward 7,Elementary,278.0,18.59,1.0,339.0,61.0,206,76,58,44,17,251.0,118,73,37,14
DCPS,360,Capitol Hill Montessori School @ Logan,PK3-8th,362.0,65.7,4.0,392.0,30.0,38.89853031,-77.00256647,Cluster 25,Ward 6,Education Campus/Multi,365.0,54.34,3.0,392.0,27.0,259,147,47,24,12,259.0,137,71,29,<10
DCPS,454,Cardozo Education Campus,6th-12th,746.0,16.17,1.0,1070.0,324.0,38.92217286,-77.02847069,Cluster 2,Ward 1,Education Campus/Multi,788.0,15.12,1.0,1070.0,282.0,717,95,95,153,364,730.0,111,125,164,316
DCPS,224,Cleveland Elementary School,PK3-5th,304.0,49.16,3.0,346.0,42.0,38.91514529,-77.02270718,Cluster 3,Ward 1,Elementary,317.0,47.37,3.0,346.0,29.0,241,123,48,30,n<10,247.0,148,39,14,<10
DCPS,442,Columbia Heights Education Campus (CHEC),6th-12th,1320.0,58.12,3.0,1400.0,80.0,38.92954477,-77.03585831,Cluster 2,Ward 1,Education Campus/Multi,1240.0,58.59,3.0,1400.0,160.0,1304,418,257,281,245,1245.0,390,268,307,203
DCPS,455,Coolidge High School,9th-12th,327.0,14.79,1.0,0.0,0.0,38.96728457,-77.01957835,Cluster 17,Ward 4,High,310.0,13.24,1.0,1105.0,795.0,330,61,47,63,143,329.0,101,53,58,87
DCPS,405,Deal Middle School,6th-8th,1507.0,88.93,5.0,1570.0,63.0,38.95289674,-77.07519907,Cluster 11,Ward 3,Middle,1475.0,88.22,5.0,1570.0,95.0,1547,1026,132,46,22,1520.0,1024,122,42,15
DCPS,349,Dorothy Height Elementary School,PK3-5th,480.0,60.16,4.0,635.0,155.0,38.94470049,-77.03054061,Cluster 18,Ward 4,Elementary,479.0,59.19,3.0,635.0,156.0,342,183,72,35,n<10,343.0,179,84,41,11
DCPS,231,Drew Elementary School,PK3-5th,236.0,20.4,2.0,362.0,126.0,38.89599397,-76.91992701,Cluster 31,Ward 7,Elementary,272.0,30.73,2.0,362.0,90.0,220,95,59,38,20,253.0,90,94,47,14
DCPS,467,Dunbar High School,9th-12th,667.0,22.24,2.0,1135.0,468.0,38.90762655,-77.01269148,Cluster 21,Ward 5,High,617.0,26.57,2.0,1135.0,518.0,718,27,43,135,508,671.0,37,61,164,398
DCPS,457,Eastern High School,9th-12th,744.0,25.45,2.0,1100.0,356.0,38.89040266,-76.97968429,Cluster 26,Ward 6,High,769.0,31.67,2.0,1100.0,331.0,776,59,86,170,458,773.0,94,109,174,380
DCPS,232,Eaton Elementary School,PK4-5th,474.0,72.54,4.0,451.0,0.0,38.93272707,-77.06582114,Cluster 15,Ward 3,Elementary,476.0,88.24,5.0,451.0,0.0,456,260,23,n<10,n<10,453.0,256,<10,0,0
DCPS,407,Eliot-Hine Middle School,6th-8th,232.0,31.2,2.0,0.0,0.0,38.89243149,-76.97897792,Cluster 25,Ward 6,Middle,203.0,7.43,1.0,717.0,514.0,265,72,48,67,69,227.0,55,54,56,48
DCPS,471,Ellington School of the Arts,9th-12th,545.0,74.13,4.0,600.0,55.0,38.91344638,-77.07030757,Cluster 4,Ward 2,High,566.0,72.66,4.0,600.0,34.0,567,112,142,147,159,558.0,224,101,111,82
DCPS,318,Excel Academy,PK3-8th,469.0,43.87,3.0,0.0,0.0,38.85976209,-76.99535457,Cluster 37,Ward 8,Education Campus/Multi,,,,,,,,,,,,,,,
DCPS,238,Garfield Elementary School,PK3-5th,291.0,21.94,2.0,381.0,90.0,38.85173338,-76.97080478,Cluster 36,Ward 8,Elementary,301.0,32.1,2.0,381.0,80.0,274,112,99,22,25,281.0,127,103,21,<10
DCPS,239,Garrison Elementary School,PK3-5th,277.0,78.16,4.0,356.0,79.0,38.91390129,-77.02861256,Cluster 7,Ward 2,Elementary,250.0,57.94,3.0,356.0,106.0,217,113,32,18,n<10,192.0,130,30,<10,<10
DCPS,227,H D Cooke Elementary School,PK3-5th,387.0,52.53,3.0,441.0,54.0,38.92394309,-77.03881058,Cluster 1,Ward 1,Elementary,404.0,71.4,4.0,441.0,37.0,330,162,67,53,,337.0,163,64,47,19
DCPS,246,Hardy Middle School,6th-8th,451.0,90.44,5.0,485.0,34.0,38.91550903,-77.0686139,Cluster 4,Ward 2,Middle,392.0,82.74,5.0,485.0,93.0,476,301,42,10,17,405.0,282,16,<10,<10
DCPS,413,Hart Middle School,6th-8th,357.0,44.2,3.0,1105.0,748.0,38.83773787,-76.99717875,Cluster 39,Ward 8,Middle,337.0,20.83,2.0,1105.0,768.0,421,169,137,72,n<10,392.0,173,121,47,29
DCPS,258,Hearst Elementary School,PK4-5th,331.0,66.61,4.0,344.0,13.0,38.94072265,-77.07195522,Cluster 15,Ward 3,Elementary,312.0,75.17,4.0,344.0,32.0,303,172,24,n<10,,278.0,183,24,<10,0
